day,city,S,E,I,R
1,Manor,16917.00,0.00,0.00,0.00
1,Donna,16774.00,0.00,0.00,0.00
1,Taylor,16767.00,0.00,0.00,0.00
1,Pampa,16735.00,0.00,0.00,0.00
1,Humble,16489.00,0.00,0.00,0.00
1,Mercedes,16449.00,0.00,0.00,0.00
1,Hewitt,16244.00,0.00,0.00,0.00
1,Sulphur Springs,16185.00,0.00,0.00,0.00
1,Mount Pleasant,16061.00,0.00,0.00,0.00
1,Gatesville,16058.00,0.00,0.00,0.00
1,South Houston,16017.00,0.00,0.00,0.00
1,Highland Village,16004.00,0.00,0.00,0.00
1,Red Oak,15909.00,0.00,0.00,0.00
1,Rendon,15894.00,0.00,0.00,0.00
1,Live Oak,15875.00,0.00,0.00,0.00
1,Palmview,15650.00,0.00,0.00,0.00
1,Buda,15487.00,0.00,0.00,0.00
1,Aldine,15434.00,0.00,0.00,0.00
1,Canyon,15398.00,0.00,0.00,0.00
1,Uvalde,15344.00,0.00,0.00,0.00
1,Rio Grande City,15258.00,0.00,0.00,0.00
1,Mineral Wells,15130.00,0.00,0.00,0.00
1,West University Place,14906.99,0.00,0.01,0.00
1,Hereford,14874.00,0.00,0.00,0.00
1,Lockhart,14708.00,0.00,0.00,0.00
1,Dumas,14362.00,0.00,0.00,0.00
1,Hidalgo,14250.00,0.00,0.00,0.00
1,Jacksonville,14186.00,0.00,0.00,0.00
1,Wells Branch,14156.00,0.00,0.00,0.00
1,Forest Hill,13923.00,0.00,0.00,0.00
1,Lumberton,13803.00,0.00,0.00,0.00
1,Azle,13734.00,0.00,0.00,0.00
1,Port Neches,13627.00,0.00,0.00,0.00
1,Seabrook,13617.00,0.00,0.00,0.00
1,Beeville,13518.00,0.00,0.00,0.00
1,Trophy Club,13454.00,0.00,0.00,0.00
1,Kilgore,13444.00,0.00,0.00,0.00
1,Andrews,13416.00,0.00,0.00,0.00
1,Henderson,13348.00,0.00,0.00,0.00
1,Tomball,13032.00,0.00,0.00,0.00
1,Athens,13013.00,0.00,0.00,0.00
1,Manvel,12873.00,0.00,0.00,0.00
1,Santa Fe,12828.00,0.00,0.00,0.00
1,Robinson,12668.00,0.00,0.00,0.00
1,Lantana,12583.00,0.00,0.00,0.00
1,Levelland,12565.00,0.00,0.00,0.00
1,Borger,12398.00,0.00,0.00,0.00
1,Webster,12283.00,0.00,0.00,0.00
1,El Campo,12220.00,0.00,0.00,0.00
1,Richmond,12117.00,0.00,0.00,0.00
1,Hornsby Bend,12021.00,0.00,0.00,0.00
1,Fort Bliss,12009.00,0.00,0.00,0.00
1,Granbury,11665.00,0.00,0.00,0.00
1,Roma,11543.00,0.00,0.00,0.00
1,Four Corners,11490.00,0.00,0.00,0.00
1,Leon Valley,11479.00,0.00,0.00,0.00
1,Port Lavaca,11410.00,0.00,0.00,0.00
1,La Homa,11389.00,0.00,0.00,0.00
1,Snyder,11310.00,0.00,0.00,0.00
1,Selma,11302.00,0.00,0.00,0.00
1,Fredericksburg,11254.00,0.00,0.00,0.00
1,Iowa Colony,11028.00,0.00,0.00,0.00
1,Heartland,11019.00,0.00,0.00,0.00
1,Burkburnett,11012.00,0.00,0.00,0.00
1,Elgin,10996.00,0.00,0.00,0.00
1,Pleasanton,10854.00,0.00,0.00,0.00
1,Scenic Oaks,10727.00,0.00,0.00,0.00
1,Clute,10650.00,0.00,0.00,0.00
1,Freeport,10639.00,0.00,0.00,0.00
1,Fair Oaks Ranch,10630.00,0.00,0.00,0.00
1,Bonham,10594.00,0.00,0.00,0.00
1,Fairview,10570.00,0.00,0.00,0.00
2,Houston,6046375.78,5.34,9.03,1.84
2,Dallas,5843631.99,0.00,0.00,0.00
2,San Antonio,2069842.99,0.00,0.01,0.00
2,Austin,1915030.99,0.00,0.01,0.00
2,Fort Worth,941311.00,0.00,0.00,0.00
2,El Paso,862494.00,0.00,0.00,0.00
2,McAllen,810034.00,0.00,0.00,0.00
2,Denton,455152.00,0.00,0.00,0.00
2,Arlington,394769.00,0.00,0.00,0.00
2,Corpus Christi,339432.00,0.00,0.00,0.00
2,Plano,287339.00,0.00,0.00,0.00
2,Lubbock,283024.00,0.00,0.00,0.00
2,Killeen,261099.00,0.00,0.00,0.00
2,Laredo,255949.00,0.00,0.00,0.00
2,Irving,255036.00,0.00,0.00,0.00
2,Garland,245298.00,0.00,0.00,0.00
2,Brownsville,223416.00,0.00,0.00,0.00
2,College Station,215768.00,0.00,0.00,0.00
