day,S,E,I,R,I_rep,new_rep
134,31302694.09704077,24073.14825831822,60778.394186529855,462603.3605143767,6077.839418652986,607.7839418652986
135,31298712.229768172,23489.176217278655,59338.6407666384,468608.9532479068,5933.86407666384,593.386407666384
136,31294832.621092618,22914.220438790744,57930.01886942627,474472.13959916314,5793.001886942628,579.3001886942628
137,31291052.91178474,22348.818639969366,56551.31724908749,480195.9523262013,5655.13172490875,565.513172490875
138,31287370.80489541,21793.42115911383,55201.42754917733,485783.34639629384,5520.142754917733,552.0142754917733
139,31283784.08989479,21248.304242981114,53879.44042620268,491237.16543602274,5387.944042620268,538.7944042620269
140,31280290.63924386,20713.58160075585,52584.63320745584,496560.1459479255,5258.4633207455845,525.8463320745585
141,31276888.370036315,20189.330446028554,51316.329004690095,501754.97051295766,5131.63290046901,513.163290046901
142,31273575.244080395,19675.590090443555,50073.89827040817,506824.2675587491,5007.389827040817,500.73898270408176
143,31270349.278651804,19172.325683769952,48856.79966852565,511770.5959958986,4885.6799668525655,488.56799668525656
144,31267208.536860347,18679.4620486655,47664.54251956136,516596.4585714183,4766.4542519561355,476.6454251956136
145,31264151.117795598,18196.910928840192,46496.65603778497,521304.3152377751,4649.665603778497,464.9665603778497
146,31261175.156668298,17724.56978574428,45352.690650978526,525896.582894978,4535.269065097853,453.5269065097853
147,31258278.825651683,17262.319540286822,44232.220639638006,530375.6341683888,4423.222063963801,442.3222063963801
148,31255460.33421638,16810.02420058092,43134.84492415372,534743.7966588795,4313.484492415372,431.34844924153725
149,31252717.92402059,16367.543808848459,42060.17222397257,539003.3599465814,4206.017222397258,420.6017222397258
150,31250049.869108737,15934.733634635595,41007.82205647915,543156.5752001452,4100.782205647915,410.07822056479154
151,31247454.5560849,15511.369519315105,39977.41845552342,547205.655940257,3997.741845552342,399.7741845552342
152,31244930.400342718,15097.244978384377,38968.57712679663,551152.7775520952,3896.8577126796627,389.6857712679663
153,31242475.76093826,14692.238694673342,37980.92291052826,555000.077456532,3798.092291052826,379.8092291052826
154,31240089.027777612,14296.222704386328,37014.09316392443,558749.656354076,3701.409316392443,370.14093163924434
155,31237768.62144509,13909.061869847312,36067.73813997145,562403.578545085,3606.773813997145,360.67738139971453
156,31235512.991084192,13530.621159561093,35141.512966888986,565963.8747893539,3514.1512966888986,351.4151296688899
157,31233320.61521933,13160.760892307899,34235.082711946794,569432.5411764099,3423.5082711946798,342.350827119468
158,31231190.001154266,12799.338041060004,33348.120927378586,572811.539877294,3334.8120927378586,333.4812092737859
159,31229119.68240301,12446.2153622144,32480.299512136196,576102.8027226402,3248.02995121362,324.802995121362
160,31227108.220871612,12101.251033878163,31631.30017411497,579308.2279203895,3163.130017411497,316.3130017411497
161,31225154.206826475,11764.297945577446,30800.815227637726,582429.6800003094,3080.0815227637727,308.0081522763773
162,31223256.25458096,11435.21951775661,29988.52996097505,585468.9959403045,2998.852996097505,299.8852996097505
163,31221413.004494824,11113.880391268736,29194.13302257645,588427.9820913316,2919.4133022576452,291.94133022576455
164,31219623.125045534,10800.136965338757,28417.327019820794,591308.4109693039,2841.7327019820796,284.17327019820794
165,31217885.311052833,10493.843353929471,27657.821861762186,594112.0237314686,2765.7821861762186,276.57821861762187
166,31216198.27810492,10194.872407144276,26915.311174624403,596840.5383133049,2691.5311174624403,269.15311174624406
167,31214560.76743015,9903.09474744226,26189.495858964514,599495.6419634423,2618.9495858964515,261.89495858964517
168,31212971.547587797,9618.370933446473,25480.092915237758,602078.9885635098,2548.009291523776,254.80092915237762
169,31211429.41246851,9340.558861646256,24786.82710820373,604592.2015616351,2478.6827108203734,247.86827108203735
170,31209930.21831672,9072.49113734714,24109.408122442263,607036.8824234868,2410.9408122442264,241.09408122442267
171,31206339.37310817,10753.57978387475,23635.020747758783,609421.0263601885,2363.5020747758786,236.35020747758787
172,31202800.575880125,12094.427015007104,23479.51610400318,611774.4810008608,2347.9516104003183,234.79516104003184
173,31199268.274201255,13195.687992734502,23560.26123757503,614124.7765684302,2356.026123757503,235.60261237575028
174,31195708.938852694,14129.585399655887,23818.060687891433,616492.4150597558,2381.8060687891434,238.18060687891435
175,31192097.289702676,14948.254455224744,24210.590117542815,618892.8657245513,2421.0590117542815,242.10590117542816
176,31188414.120445278,15689.234021131342,24707.634055885617,621338.0114777016,2470.763405588562,247.0763405588562
177,31184644.419260673,16379.678485058495,25287.747288147348,623837.1549661172,2528.7747288147348,252.8774728814735
178,31180775.850743182,17039.637030628273,25935.699356354347,626397.812869829,2593.569935635435,259.3569935635435
179,31176798.183502704,17683.706458383665,26640.908479398797,629026.2015595047,2664.09084793988,266.40908479398803
180,31172702.60883598,18322.654312788356,27396.080908034954,631727.6559431944,2739.6080908034955,273.9608090803496
181,31168481.275279444,18964.523590845645,28196.284532996335,634506.9165967109,2819.6284532996337,281.9628453299634
182,31164127.001758825,19615.30978226316,29038.38095424475,637368.3075046613,2903.838095424475,290.3838095424475
183,31159632.974269122,20279.672433741987,29920.430656752742,640315.9226403815,2992.043065675274,299.20430656752745
184,31154992.638447464,20961.180916658373,30841.487134581865,643353.6935012955,3084.1487134581866,308.4148713458187
185,31150199.50670389,21662.757489616928,31801.22832027688,646485.5074862118,3180.122832027688,318.01228320276886
186,31145247.11291852,22386.773273086143,32799.87695189994,649715.2368564887,3279.987695189994,327.99876951899944
187,31140128.917767663,23135.254731124496,33838.03017454848,653046.7973266582,3383.8030174548485,338.38030174548487
188,31134838.2440455,23910.020775516135,34916.54715170167,656484.1880272765,3491.654715170167,349.1654715170167
189,31129368.2793472,24712.66377591217,36036.56556737454,660031.4913095112,3603.6565567374546,360.3656556737455
190,31123711.9927851,25544.72033409744,37199.362926985494,663692.9239538138,3719.9362926985496,371.993629269855
191,31117862.134860434,26407.65856106884,38406.36833651938,667472.8382419702,3840.636833651938,384.0636833651938
192,31111811.233369578,27302.87636392481,39659.16441180462,671375.7258546883,3965.916441180462,396.5916441180462
193,31105551.542673565,28231.78568654104,40959.42160108899,675406.2500388022,4095.942160108899,409.5942160108899
194,31099075.037950072,29195.811608266904,42308.900460613455,679569.2499810413,4230.890046061346,423.0890046061346
195,31092373.42375627,30196.368970082756,43709.47013667814,683869.7371369612,4370.947013667814,437.0947013667814
196,31085438.108830307,31234.90180446184,45163.07669163566,688312.9126735891,4516.307669163566,451.6307669163566
197,31078260.184078496,32312.885052454814,46671.74684196934,692904.1840270736,4667.174684196934,466.71746841969343
198,31070830.422146384,33431.82389223242,48237.58868838565,697649.1652729984,4823.758868838565,482.37588688385654
199,31063139.273115758,34593.25405113608,49862.790887802556,702553.6819452993,4986.279088780256,498.6279088780256
200,31055176.856910948,35798.75140737184,51549.61186128387,707623.7798203884,5154.961186128387,515.4961186128388
201,31046932.951207004,37049.92947980313,53300.3840859268,712865.7352272631,5330.038408592681,533.003840859268
202,31038396.979766604,38348.433392833394,55117.52038467489,718286.0664558852,5511.75203846749,551.175203846749
203,31029558.011583745,39695.94088246371,57003.51290343002,723891.5346303578,5700.351290343002,570.0351290343002
204,31020404.753605366,41094.17384190217,58960.91831899472,729689.1542337335,5896.091831899473,589.6091831899473
205,31010925.560178142,42544.8733944204,60992.375232720944,735686.1911947095,6099.237523272095,609.9237523272095
206,31001108.40947771,44049.81515930368,63100.590251146314,741890.1851118394,6310.059025114631,631.0059025114632
207,30990940.894465316,45610.81911428875,65288.33175006608,748308.9546703276,6528.833175006608,652.8833175006608
208,30980409.93765301,47229.967946310935,67558.48888826075,754950.6055124165,6755.848888826075,675.5848888826076
209,30969513.46810626,48898.770594223344,69913.27886867458,761823.4824308386,6991.327886867458,699.1327886867458
210,30958254.674759295,50605.69600757709,72352.55593470631,768936.0732984156,7235.2555934706315,723.5255593470632
211,30946627.67718032,52349.61433628912,74874.94300528131,776296.7654781077,7487.494300528131,748.7494300528132
212,30934622.320233263,54133.24530428083,77479.63463130296,783913.7998311487,7747.963463130297,774.7963463130297
213,30922228.775511615,55958.65298458081,80166.15972145516,791795.4117823492,8016.615972145516,801.6615972145516
214,30909438.085955195,57826.63796066877,82934.51467656653,799949.761407565,8293.451467656652,829.3451467656653
215,30896241.177346833,59738.03383038281,85784.7499737355,808385.0388490485,8578.47499737355,857.8474997373551
216,30882629.008157376,61693.48320333223,88717.06418243129,817109.4444568583,8871.70641824313,887.170641824313
217,30868592.79075499,63693.2935744932,91731.71498022461,826131.200690293,9173.171498022462,917.3171498022463
218,30854123.630520813,65737.78526355559,94829.03539600894,835458.5488196218,9482.903539600895,948.2903539600895
219,30839213.01812609,67826.88748741479,98009.32636651194,845099.7680199837,9800.932636651194,980.0932636651195
220,30823852.891783774,69960.17341450405,101272.75022744345,855063.1845742746,10127.275022744347,1012.7275022744348
221,30808035.159971394,72137.24365291378,104619.49684221279,865357.0995334804,10461.94968422128,1046.1949684221279
222,30791751.926391076,74357.65015028045,108049.56780513488,875989.8556535114,10804.956780513488,1080.495678051349
223,30774995.91551545,76620.45841455377,111562.8304020423,886969.795667953,11156.283040204231,1115.6283040204232
224,30757760.23120311,78924.47072129344,115159.10074392724,898305.1973316652,11515.910074392725,1151.5910074392725
